step,reward,epsilon,deliveries
1,1.8499999999999999,0.5994601619838001,0
2,-0.9000000000000001,0.5989208096760731,0
3,0.34999999999999987,0.5983819426398125,0
4,1.5999999999999999,0.5978435604384048,0
5,2.0999999999999996,0.5973056626356298,0
6,-0.9000000000000001,0.5967682487956595,0
7,0.5999999999999999,0.596231318483058,0
8,0.5999999999999999,0.5956948712627811,0
9,0.34999999999999987,0.5951589067001761,0
10,2.0999999999999996,0.5946234243609815,0
11,-0.4500000000000002,0.5940884238113263,0
12,-2.220446049250313e-16,0.5935539046177303,0
13,-0.4500000000000002,0.5930198663471027,0
14,1.0499999999999998,0.5924863085667428,0
15,1.0499999999999998,0.591953230844339,0
16,1.8499999999999999,0.5914206327479687,0
17,1.8499999999999999,0.5908885138460981,0
18,-0.4500000000000002,0.5903568737075814,0
19,0.5999999999999999,0.5898257119016608,0
20,0.34999999999999987,0.5892950279979663,0
21,0.34999999999999987,0.5887648215665148,0
22,0.7999999999999998,0.5882350921777102,0
23,1.2,0.5877058394023429,0
24,0.1499999999999999,0.5871770628115895,0
25,1.2,0.5866487619770123,0
26,-0.7000000000000002,0.5861209364705593,0
27,1.8499999999999999,0.5855935858645633,0
28,0.14999999999999986,0.5850667097317425,0
29,-0.3000000000000001,0.5845403076451987,0
30,0.95,0.5840143791784186,0
31,0.1499999999999999,0.5834889239052721,0
32,-0.55,0.5829639414000125,0
33,-0.9000000000000001,0.5824394312372767,0
34,0.34999999999999987,0.581915392992084,0
35,-1.1500000000000001,0.5813918262398354,0
36,0.5499999999999998,0.580868730556315,0
